

words_alpha mat1 temp1 chs0:
<lizing>  [<|li|z|ing|>]
<germuloisod>  [<|ge|rm|ul|oi|so|d|>]
<mous>  [<|m|ous|>]
<fies>  [<|f|ies|>]
<chnas>  [<|ch|na|s|>]
<ve>  [<|ve|>]
<hipal>  [<|hi|p|al|>]
<arsharantification>  [<|ar|sh|ar|anti|f|ica|tion|>]
<fecroover>  [<|f|ec|ro|ov|er|>]
<haliticeur>  [<|ha|li|ti|c|e|ur|>]
<teryng>  [<|te|ry|ng|>]
<lunatubrase>  [<|lu|na|tu|b|ra|se|>]
<sibilize>  [<|si|bi|li|ze|>]
<nondelict>  [<|non|de|li|ct|>]
<wiserout>  [<|w|ise|r|o|ut|>]
<motont>  [<|mo|to|n|t|>]
<undeger>  [<|un|de|g|e|r|>]
<ae>  [<|ae|>]
<giatranchear>  [<|gi|at|ra|nc|he|ar|>]
<barders>  [<|ba|r|de|rs|>]
<stoculiateran>  [<|st|oc|ul|ia|te|ra|n|>]
<in>  [<|in|>]
<veralem>  [<|ve|ra|l|em|>]
<ctulike>  [<|c|tu|li|ke|>]
<sperspire>  [<|s|per|spire|>]

words_alpha mat1 temp1 chs10:
<noncrea>  [<|non|cr|ea|>]
<aneri>  [<|an|eri|>]
<igive>  [<|ig|ive|>]
<icfitt>  [<|ic|fi|tt|>]
<tsateo>  [<|ts|at|eo|>]
<iongraphdoicd>  [<|io|n|graph|do|ic|d|>]
<tedionmen>  [<|ted|ion|men|>]
<raize>  [<|ra|ize|>]
<pe>  [<|pe|>]
<turmaure>  [<|t|ur|ma|ure|>]
<pamultiizingce>  [<|pa|multi|iz|ing|ce|>]
<capttri>  [<|capt|tri|>]
<etonituno>  [<|et|oni|tu|no|>]
<tudecilinscrib>  [<|tude|ci|lin|scrib|>]
<viliomas>  [<|vi|li|om|as|>]
<dia>  [<|dia|>]
<chronntitra>  [<|chron|nt|i|tra|>]
<ic>  [<|ic|>]
<iveeraccomtic>  [<|ive|er|ac|com|tic|>]
<au>  [<|au|>]
<zingplmi>  [<|z|ing|pl|mi|>]
<hateleir>  [<|ha|tele|ir|>]
<cometr>  [<|co|metr|>]
<atctpoc>  [<|at|ct|p|oc|>]
<acwri>  [<|ac|w|ri|>]

words_alpha mat1 temp1 chs50:
<ec>  [<|ec|>]
<nonly>  [<|non|ly|>]
<non>  [<|non|>]
<traverdi>  [<|tra|ver|di|>]
<ifquil>  [<|if|qu|il|>]
<apea>  [<|ap|ea|>]
<ateesser>  [<|ate|ess|er|>]
<chronem>  [<|chron|em|>]
<icalem>  [<|ical|em|>]
<pogiible>  [<|po|gi|ible|>]
<pabene>  [<|pa|bene|>]
<ur>  [<|ur|>]
<rs>  [<|rs|>]
<mituluniitvert>  [<|mit|ul|uni|it|vert|>]
<scmono>  [<|sc|mono|>]
<ticmausi>  [<|tic|ma|us|i|>]
<macrorat>  [<|macro|rat|>]
<ae>  [<|ae|>]
<tnapre>  [<|t|na|pre|>]
<pathlu>  [<|path|lu|>]
<preimble>  [<|pre|im|ble|>]
<sieecatation>  [<|si|ee|ca|ta|tion|>]
<phobiaiacred>  [<|phobia|ia|cred|>]
<hi>  [<|hi|>]
<ityable>  [<|ity|able|>]

words_alpha mat1 temp2 chs0:
<preverspated>  [<|pre|vers|pa|ted|>]
<tence>  [<|te|nce|>]
<shesse>  [<|sh|es|s|e|>]
<nexed>  [<|ne|x|ed|>]
<nopostentous>  [<|no|post|ent|ous|>]
<wlemitterel>  [<|w|l|e|mi|tt|e|r|el|>]
<mortisenctution>  [<|mort|ise|nc|tu|tion|>]
<sumate>  [<|s|u|m|at|e|>]
<nerised>  [<|ne|r|ise|d|>]
<pathruantis>  [<|path|ru|ant|is|>]
<unketrang>  [<|un|k|e|tra|ng|>]
<polosecton>  [<|po|lo|s|ec|to|n|>]
<theothder>  [<|th|eo|th|d|er|>]
<pulfitaigge>  [<|p|ul|f|i|ta|ig|ge|>]
<multiness>  [<|multi|n|ess|>]
<gram>  [<|gr|am|>]
<felistent>  [<|f|el|ist|ent|>]
<emastropsly>  [<|e|ma|s|tr|op|s|ly|>]
<bathemia>  [<|ba|th|em|ia|>]
<er>  [<|er|>]
<chentalbed>  [<|ch|en|ta|l|be|d|>]
<shachpanari>  [<|s|h|ac|h|pa|na|ri|>]
<bambrichatin>  [<|ba|m|b|ri|ch|at|in|>]
<res>  [<|res|>]
<imonicconc>  [<|im|oni|c|co|n|c|>]

words_alpha mat1 temp2 chs10:
<de>  [<|de|>]
<tedscope>  [<|ted|scope|>]
<isadcotherm>  [<|is|ad|co|therm|>]
<ersh>  [<|ers|h|>]
<eoaewkeeo>  [<|eo|ae|w|ke|eo|>]
<ipifke>  [<|ip|if|ke|>]
<spflec>  [<|sp|flec|>]
<intercaltaatiotude>  [<|inter|cal|ta|atio|tude|>]
<aunactspecim>  [<|au|na|ct|spec|im|>]
<to>  [<|to|>]
<ityship>  [<|ity|ship|>]
<age>  [<|age|>]
<credyim>  [<|cred|y|im|>]
<phon>  [<|phon|>]
<fi>  [<|fi|>]
<aiaful>  [<|a|ia|ful|>]
<psych>  [<|psych|>]
<cecontraboovering>  [<|ce|contra|bo|ov|er|ing|>]
<mpes>  [<|mp|es|>]
<neocscopecounter>  [<|ne|oc|scope|counter|>]
<tiosan>  [<|tio|sa|n|>]
<ternessostru>  [<|ter|ness|o|stru|>]
<abl>  [<|abl|>]
<ilti>  [<|il|ti|>]
<ckgodenege>  [<|ck|g|od|ene|ge|>]

words_alpha mat1 temp2 chs50:
<ers>  [<|ers|>]
<smmeter>  [<|sm|meter|>]
<ize>  [<|ize|>]
<tudece>  [<|tude|ce|>]
<rtuxde>  [<|rt|u|x|de|>]
<bagr>  [<|ba|gr|>]
<il>  [<|il|>]
<stelen>  [<|s|tele|n|>]
